,id,firstname,surname,born,died,bornCountry,bornCountryCode,bornCity,diedCountry,diedCountryCode,diedCity,gender,year,category,overallMotivation,share,motivation,name,city,country,bornYear
204,315,Willem,Einthoven,1860-05-21,9/29/2027,"Java, Dutch East Indies (now Indonesia)",ID,Semarang,the Netherlands,NL,Leiden,male,1924,medicine,,1,"""for his discovery of the mechanism of the electrocardiogram""",Leiden University,Leiden,the Netherlands,1860
205,322,Otto Heinrich,Warburg,1883-10-08,08.01.70,Germany,DE,Freiburg im Breisgau,West Germany (now Germany),DE,West Berlin,male,1931,medicine,,1,"""for his discovery of the nature and mode of action of the respiratory enzyme""",Kaiser-Wilhelm-Institut (now Max-Planck-Institut) fôr Biologie,Berlin-Dahlem,Germany,1883
206,329,Hans,Spemann,1869-06-27,09.12.41,W&uuml;rttemberg (now Germany),DE,Stuttgart,Germany,DE,Freiburg im Breisgau,male,1935,medicine,,1,"""for his discovery of the organizer effect in embryonic development""",University of Freiburg im Breisgau,Breisgau,Germany,1869
207,345,Bernardo Alberto,Houssay,1887-04-10,9/21/1971,Argentina,AR,Buenos Aires,Argentina,AR,Buenos Aires,male,1947,medicine,,2,"""for his discovery of the part played by the hormone of the anterior pituitary lobe in the metabolism of sugar""",Instituto de Biologia y Medicina Experimental (Institute for Biology and Experimental Medicine),Buenos Aires,Argentina,1887
208,43,Carl David,Anderson,03.09.05,01.11.91,USA,US,"New York, NY",USA,US,"San Marino, CA",male,1936,physics,,2,"""for his discovery of the positron""",California Institute of Technology (Caltech),"Pasadena, CA",USA,1905
209,316,Johannes Andreas Grib,Fibiger,1867-04-23,1/30/2028,Denmark,DK,Silkeborg,Denmark,DK,Copenhagen,male,1926,medicine,,1,"""for his discovery of the Spiroptera carcinoma""",Copenhagen University,Copenhagen,Denmark,1867
210,348,Antonio Caetano de Abreu Freire Egas,Moniz,1874-11-29,12/13/1955,Portugal,PT,Avanca,Portugal,PT,Lisbon,male,1949,medicine,,2,"""for his discovery of the therapeutic value of leucotomy in certain psychoses""",University of Lisbon,Lisbon,Portugal,1874
211,348,Antonio Caetano de Abreu Freire Egas,Moniz,1874-11-29,12/13/1955,Portugal,PT,Avanca,Portugal,PT,Lisbon,male,1949,medicine,,2,"""for his discovery of the therapeutic value of leucotomy in certain psychoses""",Neurological Institute,Lisbon,Portugal,1874
212,317,Julius,Wagner-Jauregg,1857-03-07,9/27/1940,Austria,AT,Wels,Austria,AT,Vienna,male,1927,medicine,,1,"""for his discovery of the therapeutic value of malaria inoculation in the treatment of dementia paralytica""",Vienna University,Vienna,Austria,1857
213,36,Prince Louis-Victor Pierre Raymond,de Broglie,1892-08-15,3/19/1987,France,FR,Dieppe,France,FR,Paris,male,1929,physics,,1,"""for his discovery of the wave nature of electrons""","Sorbonne University, Institut Henri Poincar_",Paris,France,1892
214,383,Peyton,Rous,1879-10-05,2/16/1972,USA,US,"Baltimore, MD",USA,US,"New York, NY",male,1966,medicine,,2,"""for his discovery of tumour-inducing viruses""",Rockefeller University,"New York, NY",USA,1879
215,335,Henrik Carl Peter,Dam,1895-02-21,4/17/1976,Denmark,DK,Copenhagen,Denmark,DK,Copenhagen,male,1943,medicine,,2,"""for his discovery of vitamin K""",Polytechnic Institute,Copenhagen,Denmark,1895
216,311,Archibald Vivian,Hill,1886-09-26,06.03.77,United Kingdom,GB,Bristol,United Kingdom,GB,Cambridge,male,1922,medicine,,2,"""for his discovery relating to the production of heat in the muscle""",London University,London,United Kingdom,1886
217,204,James Batcheller,Sumner,1887-11-19,08.12.55,USA,US,"Canton, MA",USA,US,"Buffalo, NY",male,1946,chemistry,,2,"""for his discovery that enzymes can be crystallized""",Cornell University,"Ithaca, NY",USA,1887
218,180,Francis William,Aston,1877-09-01,11/20/1945,United Kingdom,GB,Harborne,United Kingdom,GB,Cambridge,male,1922,chemistry,,1,"""for his discovery, by means of his mass spectrograph, of isotopes, in a large number of non-radioactive elements, and for his enunciation of the whole-number rule""",University of Cambridge,Cambridge,United Kingdom,1877
219,651,Eugenio,Montale,1896-10-12,09.12.81,Italy,IT,Genoa,Italy,IT,Milan,male,1975,literature,,1,"""for his distinctive poetry which, with great artistic sensitivity, has interpreted human values under the sign of an outlook on life with no illusions""",,,,1896
220,605,John,Galsworthy,1867-08-14,1/31/1933,United Kingdom,GB,Kingston Hill,United Kingdom,GB,London,male,1932,literature,,1,"""for his distinguished art of narration which takes its highest form in <I>The Forsyte Saga</I>""",,,,1867
221,635,Giorgos,Seferis,13.03.00,9/20/1971,Ottoman Empire (now Turkey),TR,Smyrna (now Izmir),Greece,GR,Athens,male,1963,literature,,1,"""for his eminent lyrical writing, inspired by a deep feeling for the Hellenic world of culture""",,,,1900
222,680,Simon,Kuznets,30.04.01,07.08.85,Russian Empire (now Belarus),BY,Pinsk,USA,US,"Cambridge, MA",male,1971,economics,,1,"""for his empirically founded interpretation of economic growth which has led to new and deepened insight into the economic and social structure and process of development""",Harvard University,"Cambridge, MA",USA,1901
224,246,Paul J.,Flory,19.06.10,09.08.85,USA,US,"Sterling, IL",USA,US,"Big Sur, CA",male,1974,chemistry,,1,"""for his fundamental achievements, both theoretical and experimental, in the physical chemistry of the macromolecules""",Stanford University,"Stanford, CA",USA,1910
225,279,Michael,Smith,26.04.32,10.04.00,United Kingdom,GB,Blackpool,Canada,CA,Vancouver,male,1993,chemistry,"""for contributions to the developments of methods within DNA-based chemistry""",2,"""for his fundamental contributions to the establishment of oligonucleotide-based, site-directed mutagenesis and its development for protein studies""",University of British Columbia,Vancouver,Canada,1932
226,61,Max,Born,1882-12-11,01.05.70,Germany (now Poland),PL,Breslau (now Wroclaw),West Germany (now Germany),DE,G_ttingen,male,1954,physics,,2,"""for his fundamental research in quantum mechanics, especially for his statistical interpretation of the wavefunction""",Edinburgh University,Edinburgh,United Kingdom,1882
227,254,Paul,Berg,30.06.26,,USA,US,"New York, NY",,,,male,1980,chemistry,,2,"""for his fundamental studies of the biochemistry of nucleic acids, with particular regard to recombinant-DNA""",Stanford University,"Stanford, CA",USA,1926
228,232,Robert S.,Mulliken,1896-06-07,10/31/1986,USA,US,"Newburyport, MA",USA,US,"Arlington, VA",male,1966,chemistry,,1,"""for his fundamental work concerning chemical bonds and the electronic structure of molecules by the molecular orbital method""",University of Chicago,"Chicago, IL",USA,1896
229,127,Ernst,Ruska,25.12.06,5/27/1988,Germany,DE,Heidelberg,Germany,DE,West Berlin,male,1986,physics,,2,"""for his fundamental work in electron optics, and for the design of the first electron microscope""",Fritz-Haber-Institut der Max-Planck-Gesellschaft,Berlin,Federal Republic of Germany,1906
230,594,Wladyslaw Stanislaw,Reymont,1867-05-07,12.05.25,Russian Empire (now Poland),PL,Kobiele Wielkie,Poland,PL,Warsaw,male,1924,literature,,1,"""for his great national epic, <I>The Peasants</I>""",,,,1867
231,654,Isaac Bashevis,Singer,14.07.04,7/24/1991,Russian Empire (now Poland),PL,Leoncin,USA,US,"Surfside, FL",male,1978,literature,,1,"""for his impassioned narrative art which, with roots in a Polish-Jewish cultural tradition, brings universal human conditions to life""",,,,1904
232,629,Boris Leonidovich,Pasternak,1890-02-10,5/30/1960,Russia,RU,Moscow,Russia,RU,Peredelkino,male,1958,literature,,1,"""for his important achievement both in contemporary lyrical poetry and in the field of the great Russian epic tradition""",,,,1890
234,628,Albert,Camus,07.11.13,01.04.60,French Algeria (now Algeria),DZ,Mondovi,France,FR,Sens,male,1957,literature,,1,"""for his important literary production, which with clear-sighted earnestness illuminates the problems of the human conscience in our times""",,,,1913
235,617,Hermann,Hesse,1877-07-02,08.09.62,Germany,DE,Calw,Switzerland,,Montagnola,male,1946,literature,,1,"""for his inspired writings which, while growing in boldness and penetration, exemplify the classical humanitarian ideals and high qualities of style""",,,,1877
236,142,Georges,Charpak,01.08.24,9/29/2010,Poland,PL,Dabrovica,France,FR,Paris,male,1992,physics,,1,"""for his invention and development of particle detectors, in particular the multiwire proportional chamber""",CERN,Geneva,Switzerland,1924
237,142,Georges,Charpak,01.08.24,9/29/2010,Poland,PL,Dabrovica,France,FR,Paris,male,1992,physics,,1,"""for his invention and development of particle detectors, in particular the multiwire proportional chamber""",cole Sup_rieure de Physique et Chimie,Paris,France,1924
238,93,Dennis,Gabor,05.06.00,02.08.79,Hungary,HU,Budapest,United Kingdom,GB,London,male,1971,physics,,1,"""for his invention and development of the holographic method""",Imperial College,London,United Kingdom,1900
239,17,Nils Gustaf,Dal_n,1869-11-30,12.09.37,Sweden,SE,Stenstorp,Sweden,SE,Stockholm,male,1912,physics,,1,"""for his invention of automatic regulators for use in conjunction with gas accumulators for illuminating lighthouses and buoys""",Swedish Gas-Accumulator Co.,Liding_-Stockholm,Sweden,1869
240,181,Fritz,Pregl,1869-09-03,12/13/1930,Austria-Hungary (now Slovenia),SI,Laibach (now Ljubljana),Austria,AT,Graz,male,1923,chemistry,,1,"""for his invention of the method of micro-analysis of organic substances""",Graz University,Graz,Austria,1869
241,278,Kary B.,Mullis,28.12.44,,USA,US,"Lenoir, NC",,,,male,1993,chemistry,"""for contributions to the developments of methods within DNA-based chemistry""",2,"""for his invention of the polymerase chain reaction (PCR) method""",,"La Jolla, CA",USA,1944
242,297,Robert,Koch,1843-12-11,5/27/2010,Germany,DE,Clausthal (now Clausthal-Zellerfeld),Germany,DE,Baden-Baden,male,1905,medicine,,1,"""for his investigations and discoveries in relation to tuberculosis""",Institute for Infectious Diseases,Berlin,Germany,1843
243,167,Ernest,Rutherford,1871-08-30,10/19/1937,New Zealand,NZ,Nelson,United Kingdom,GB,Cambridge,male,1908,chemistry,,1,"""for his investigations into the disintegration of the elements, and the chemistry of radioactive substances""",Victoria University,Manchester,United Kingdom,1871
244,184,Heinrich Otto,Wieland,1877-06-04,08.05.57,Germany,DE,Pforzheim,West Germany (now Germany),DE,Munich,male,1927,chemistry,,1,"""for his investigations of the constitution of the bile acids and related substances""",Munich University,Munich,Germany,1877
245,8,Lord Rayleigh,(John William Strutt),1842-11-12,6/30/1919,United Kingdom,GB,"Langford Grove, Maldon, Essex",United Kingdom,GB,,male,1904,physics,,1,"""for his investigations of the densities of the most important gases and for his discovery of argon in connection with these studies""",Royal Institution of Great Britain,London,United Kingdom,1842
246,52,Sir Edward Victor,Appleton,1892-09-06,4/21/1965,United Kingdom,GB,Bradford,Scotland,GB,Edinburgh,male,1947,physics,,1,"""for his investigations of the physics of the upper atmosphere especially for the discovery of the so-called Appleton layer""",Department of Scientific and Industrial Research,London,United Kingdom,1892
247,196,Walter Norman,Haworth,1883-03-19,3/19/1950,United Kingdom,GB,Chorley,United Kingdom,GB,Birmingham,male,1937,chemistry,,2,"""for his investigations on carbohydrates and vitamin C""",Birmingham University,Birmingham,United Kingdom,1883
248,197,Paul,Karrer,1889-04-21,6/18/1971,Russia,RU,Moscow,Switzerland,,Zurich,male,1937,chemistry,,2,"""for his investigations on carotenoids, flavins and vitamins A and B2""",University of Zurich,Zurich,Switzerland,1889
249,207,Sir Robert,Robinson,1886-09-13,02.08.75,United Kingdom,GB,"Rufford, near Chesterfield",United Kingdom,GB,Great Missenden,male,1947,chemistry,,1,"""for his investigations on plant products of biological importance, especially the alkaloids""",University of Oxford,Oxford,United Kingdom,1886
250,18,Heike,Kamerlingh Onnes,1853-09-21,2/21/1926,the Netherlands,NL,Groningen,the Netherlands,NL,Leiden,male,1913,physics,,1,"""for his investigations on the properties of matter at low temperatures which led, inter alia, to the production of liquid helium""",Leiden University,Leiden,the Netherlands,1853
253,627,Juan Ramn,Jim_nez,1881-12-24,5/29/1958,Spain,ES,Moguer,Puerto Rico,PR,San Juan,male,1956,literature,,1,"""for his lyrical poetry, which in Spanish language constitutes an example of high spirit and artistical purity""",,,,1881
254,630,Salvatore,Quasimodo,19.08.01,6/14/1968,Italy,IT,Modica,Italy,IT,Naples,male,1959,literature,,1,"""for his lyrical poetry, which with classical fire expresses the tragic experience of life in our own times""",,,,1901
255,624,Sir Winston Leonard Spencer,Churchill,1874-11-30,1/24/1965,United Kingdom,GB,Woodstock,United Kingdom,GB,London,male,1953,literature,,1,"""for his mastery of historical and biographical description as well as for brilliant oratory in defending exalted human values""",,,,1874
256,625,Ernest Miller,Hemingway,1899-07-21,07.02.61,USA,US,"Oak Park, IL",USA,US,"Ketchum, ID",male,1954,literature,,1,"""for his mastery of the art of narrative, most recently demonstrated in <I>The Old Man and the Sea,</I> and for the influence that he has exerted on contemporary style""",,,,1899
257,173,Paul,Sabatier,1854-11-05,8/14/1941,France,FR,Carcassonne,France,FR,Toulouse,male,1912,chemistry,,2,"""for his method of hydrogenating organic compounds in the presence of finely disintegrated metals whereby the progress of organic chemistry has been greatly advanced in recent years""",Toulouse University,Toulouse,France,1854
258,34,Charles Thomson Rees,Wilson,1869-02-14,11/15/1959,Scotland,GB,Glencorse,Scotland,GB,Carlops,male,1927,physics,,2,"""for his method of making the paths of electrically charged particles visible by condensation of vapour""",University of Cambridge,Cambridge,United Kingdom,1869
259,12,Gabriel,Lippmann,1845-08-16,7/13/1921,Luxembourg,LU,Hollerich,,,,male,1908,physics,,1,"""for his method of reproducing colours photographically based on the phenomenon of interference""",Sorbonne University,Paris,France,1845
260,224,Willard Frank,Libby,17.12.08,09.08.80,USA,US,"Grand Valley, CO",USA,US,"Los Angeles, CA",male,1960,chemistry,,1,"""for his method to use carbon-14 for age determination in archaeology, geology, geophysics, and other branches of science""",University of California,"Los Angeles, CA",USA,1908
261,589,Knut Pedersen,Hamsun,1859-08-04,2/19/1952,Norway,NO,Lom,Norway,NO,Grimstad,male,1920,literature,,1,"""for his monumental work, <I>Growth of the Soil</I>""",,,,1859
262,642,Yasunari,Kawabata,1899-06-11,4/16/1972,Japan,JP,Osaka,Japan,JP,Zushi,male,1968,literature,,1,"""for his narrative mastery, which with great sensibility expresses the essence of the Japanese mind""",,,,1899
263,659,Gabriel,GarcÍa Mrquez,06.03.27,4/17/2014,Colombia,CO,Aracataca,Mexico,MX,Mexico City,male,1982,literature,,1,"""for his novels and short stories, in which the fantastic and the realistic are combined in a richly composed world of imagination, reflecting a continent's life and conflicts""",,,,1927
264,660,William,Golding,19.09.11,6/19/1993,United Kingdom,GB,St. Columb Minor,United Kingdom,GB,Perranarworthal,male,1983,literature,,1,"""for his novels which, with the perspicuity of realistic narrative art and the diversity and universality of myth, illuminate the human condition in the world of today""",,,,1911
265,11,Albert Abraham,Michelson,1852-12-19,05.09.31,Prussia (now Poland),PL,Strelno (now Strzelno),USA,US,"Pasadena, CA",male,1907,physics,,1,"""for his optical precision instruments and the spectroscopic and metrological investigations carried out with their aid""",University of Chicago,"Chicago, IL",USA,1852
266,231,Robert Burns,Woodward,10.04.17,07.08.79,USA,US,"Boston, MA",USA,US,"Cambridge, MA",male,1965,chemistry,,1,"""for his outstanding achievements in the art of organic synthesis""",Harvard University,"Cambridge, MA",USA,1917
267,619,Thomas Stearns,Eliot,1888-09-26,01.04.65,USA,US,"St. Louis, MO",United Kingdom,GB,London,male,1948,literature,,1,"""for his outstanding, pioneer contribution to present-day poetry""",,,,1888
268,728,Jack S.,Kilby,08.11.23,6/20/2005,USA,US,"Jefferson City, MO",USA,US,"Dallas, TX",male,2000,physics,"""for basic work on information and communication technology""",2,"""for his part in the invention of the integrated circuit""",Texas Instruments,"Dallas, TX",USA,1923
269,699,Franco,Modigliani,18.06.18,9/25/2003,Italy,IT,Rome,USA,US,"Cambridge, MA",male,1985,economics,,1,"""for his pioneering analyses of saving and of financial markets""",Massachusetts Institute of Technology (MIT),"Cambridge, MA",USA,1918
270,702,Maurice,Allais,31.05.11,10.09.10,France,FR,Paris,France,FR,Paris,male,1988,economics,,1,"""for his pioneering contributions to the theory of markets and efficient utilization of resources""",cole Nationale Sup_rieur des Mines de Paris,Paris,France,1911
271,691,Herbert A.,Simon,15.06.16,02.09.01,USA,US,"Milwaukee, WI",USA,US,"Pittsburgh, PA",male,1978,economics,,1,"""for his pioneering research into the decision-making process within economic organizations""",Carnegie Mellon University,"Pittsburgh, PA",USA,1916
272,75,Robert,Hofstadter,05.02.15,11/17/1990,USA,US,"New York, NY",USA,US,"Stanford, CA",male,1961,physics,,2,"""for his pioneering studies of electron scattering in atomic nuclei and for his thereby achieved discoveries concerning the structure of the nucleons""",Stanford University,"Stanford, CA",USA,1915
273,77,Lev Davidovich,Landau,22.01.08,04.01.68,Russian Empire (now Azerbaijan),AZ,Baku,USSR (now Russia),RU,Moscow,male,1962,physics,,1,"""for his pioneering theories for condensed matter, especially liquid helium""",Academy of Sciences,Moscow,USSR,1908
274,661,Jaroslav,Seifert,23.09.01,01.10.86,Austria-Hungary (now Czech Republic),CZ,Prague,Czechoslovakia,CZ,Prague,male,1984,literature,,1,"""for his poetry which endowed with freshness, sensuality and rich inventiveness provides a liberating image of the indomitable spirit and versatility of man""",,,,1901
275,655,Odysseus,Elytis,02.11.11,3/18/1996,Crete (now Greece),GR,Irklion,Greece,GR,Athens,male,1979,literature,,1,"""for his poetry, which, against the background of Greek tradition, depicts with sensuous strength and intellectual clear-sightedness modern man's struggle for freedom and creativeness""",,,,1911
276,620,William,Faulkner,1897-09-25,07.06.62,USA,US,"New Albany, MS",USA,US,"Byhalia, MS",male,1949,literature,,1,"""for his powerful and artistically unique contribution to the modern American novel""",,,,1897
277,64,Polykarp,Kusch,26.01.11,3/20/1993,Germany,DE,Blankenburg,USA,US,"Dallas, TX",male,1955,physics,,2,"""for his precision determination of the magnetic moment of the electron""",Columbia University,"New York, NY",USA,1911
278,54,Hideki,Yukawa,23.01.07,09.08.81,Japan,JP,Tokyo,Japan,JP,Kyoto,male,1949,physics,,1,"""for his prediction of the existence of mesons on the basis of theoretical work on nuclear forces""",Kyoto Imperial University,Kyoto,Japan,1907
279,54,Hideki,Yukawa,23.01.07,09.08.81,Japan,JP,Tokyo,Japan,JP,Kyoto,male,1949,physics,,1,"""for his prediction of the existence of mesons on the basis of theoretical work on nuclear forces""",Columbia University,"New York, NY",USA,1907
280,639,Shmuel Yosef,Agnon,1888-07-17,2/17/1970,Austria-Hungary (now Ukraine),UA,Buczacz (now Buchach),Israel,IL,Rehovot,male,1966,literature,,2,"""for his profoundly characteristic narrative art with motifs from the life of the Jewish people""",,,,1888
281,634,John,Steinbeck,27.02.02,12/20/1968,USA,US,"Salinas, CA",USA,US,"New York, NY",male,1962,literature,,1,"""for his realistic and imaginative writings, combining as they do sympathetic humour and keen social perception""",,,,1902
282,203,Artturi Ilmari,Virtanen,1895-01-15,11.11.73,Russian Empire (now Finland),FI,Helsinki,Finland,FI,Helsinki,male,1945,chemistry,,1,"""for his research and inventions in agricultural and nutrition chemistry, especially for his fodder preservation method""",University of Helsinki,Helsinki,Finland,1895
283,217,Linus Carl,Pauling,28.02.01,8/19/1994,USA,US,"Portland, OR",USA,US,"Big Sur, CA",male,1954,chemistry,,1,"""for his research into the nature of the chemical bond and its application to the elucidation of the structure of complex substances""",California Institute of Technology (Caltech),"Pasadena, CA",USA,1901
284,248,Vladimir,Prelog,23.07.06,01.07.98,Austria-Hungary (now Bosnia and Herzegovina),BA,Sarajevo,Switzerland,,Zurich,male,1975,chemistry,,2,"""for his research into the stereochemistry of organic molecules and reactions""",Eidgen_ssische Technische Hochschule (Swiss Federal Institute of Technology),Zurich,Switzerland,1906
285,208,Arne Wilhelm Kaurin,Tiselius,10.08.02,10/29/1971,Sweden,SE,Stockholm,Sweden,SE,Uppsala,male,1948,chemistry,,1,"""for his research on electrophoresis and adsorption analysis, especially for his discoveries concerning the complex nature of the serum proteins""",Uppsala University,Uppsala,Sweden,1902
286,225,Melvin,Calvin,08.04.11,01.08.97,USA,US,"St. Paul, MN",USA,US,"Berkeley, CA",male,1961,chemistry,,1,"""for his research on the carbon dioxide assimilation in plants""",University of California,"Berkeley, CA",USA,1911
287,76,Rudolf Ludwig,M_ssbauer,31.01.29,9/14/2011,Germany,DE,Munich,,,,male,1961,physics,,2,"""for his researches concerning the resonance absorption of gamma radiation and his discovery in this connection of the effect which bears his name""",Technical University,Munich,Federal Republic of Germany,1929
288,76,Rudolf Ludwig,M_ssbauer,31.01.29,9/14/2011,Germany,DE,Munich,,,,male,1961,physics,,2,"""for his researches concerning the resonance absorption of gamma radiation and his discovery in this connection of the effect which bears his name""",California Institute of Technology (Caltech),"Pasadena, CA",USA,1929
289,188,Hans,Fischer,1881-07-27,3/31/1945,Germany,DE,Hoechst,Germany,DE,Munich,male,1930,chemistry,,1,"""for his researches into the constitution of haemin and chlorophyll and especially for his synthesis of haemin""",Technische Hochschule (Institute of Technology),Munich,Germany,1881
290,176,Richard Martin,Willst_tter,1872-08-13,08.03.42,Germany,DE,Karlsruhe,Switzerland,,Locarno,male,1915,chemistry,,1,"""for his researches on plant pigments, especially chlorophyll""",Munich University,Munich,Germany,1872
292,49,Isidor Isaac,Rabi,1898-07-29,01.11.88,Austria-Hungary (now Poland),PL,Rymanow,USA,US,"New York, NY",male,1944,physics,,1,"""for his resonance method for recording the magnetic properties of atomic nuclei""",Columbia University,"New York, NY",USA,1898
293,696,George J.,Stigler,17.01.11,12.01.91,USA,US,"Renton, WA",USA,US,"Chicago, IL",male,1982,economics,,1,"""for his seminal studies of industrial structures, functioning of markets and causes and effects of public regulation""",University of Chicago,"Chicago, IL",USA,1911
294,27,Niels Henrik David,Bohr,1885-10-07,11/18/1962,Denmark,DK,Copenhagen,Denmark,DK,Copenhagen,male,1922,physics,,1,"""for his services in the investigation of the structure of atoms and of the radiation emanating from them""",Copenhagen University,Copenhagen,Denmark,1885
295,26,Albert,Einstein,1879-03-14,4/18/1955,Germany,DE,Ulm,USA,US,"Princeton, NJ",male,1921,physics,,1,"""for his services to Theoretical Physics, and especially for his discovery of the law of the photoelectric effect""",Kaiser-Wilhelm-Institut (now Max-Planck-Institut) fôr Physik,Berlin,Germany,1879
296,816,Gerhard,Ertl,10.10.36,,Germany,DE,Bad Cannstatt,,,,male,2007,chemistry,,1,"""for his studies of chemical processes on solid surfaces""",Fritz-Haber-Institut der Max-Planck-Gesellschaft,Berlin,Germany,1936
297,806,Roger D.,Kornberg,24.04.47,,USA,US,"St. Louis, MO",,,,male,2006,chemistry,,1,"""for his studies of the molecular basis of eukaryotic transcription""",Stanford University,"Stanford, CA",USA,1947
298,292,Ahmed H.,Zewail,26.02.46,08.02.16,Egypt,EG,Damanhur,,,,male,1999,chemistry,,1,"""for his studies of the transition states of chemical reactions using femtosecond spectroscopy""",California Institute of Technology (Caltech),"Pasadena, CA",USA,1946
299,249,William N.,Lipscomb,09.12.19,4/14/2011,USA,US,"Cleveland, OH",USA,US,"Cambridge, MA",male,1976,chemistry,,1,"""for his studies on the structure of boranes illuminating problems of chemical bonding""",Harvard University,"Cambridge, MA",USA,1919
300,123,William Alfred,Fowler,09.08.11,3/14/1995,USA,US,"Pittsburgh, PA",USA,US,"Pasadena, CA",male,1983,physics,,2,"""for his theoretical and experimental studies of the nuclear reactions of importance in the formation of the chemical elements in the universe""",California Institute of Technology (Caltech),"Pasadena, CA",USA,1911
301,99,Brian David,Josephson,04.01.40,,United Kingdom,GB,Cardiff,,,,male,1973,physics,,2,"""for his theoretical predictions of the properties of a supercurrent through a tunnel barrier, in particular those phenomena which are generally known as the Josephson effects""",University of Cambridge,Cambridge,United Kingdom,1940
302,122,Subramanyan,Chandrasekhar,19.10.10,8/21/1995,India (now Pakistan),PK,Lahore,USA,US,"Chicago, IL",male,1983,physics,,2,"""for his theoretical studies of the physical processes of importance to the structure and evolution of the stars""",University of Chicago,"Chicago, IL",USA,1910
303,121,Kenneth G.,Wilson,08.06.36,6/15/2013,USA,US,"Waltham, MA",USA,US,"Saco, ME",male,1982,physics,,1,"""for his theory for critical phenomena in connection with phase transitions""",Cornell University,"Ithaca, NY",USA,1936
304,586,Karl Adolph,Gjellerup,1857-06-02,10.11.19,Denmark,DK,Roholte,Germany,DE,Klotzsche,male,1917,literature,,2,"""for his varied and rich poetry, which is inspired by lofty ideals""",,,,1857
305,603,Sinclair,Lewis,1885-02-07,01.10.51,USA,US,"Sauk Centre, MN",Italy,IT,Rome,male,1930,literature,,1,"""for his vigorous and graphic art of description and his ability to create, with wit and humour, new types of characters""",,,,1885
306,626,Halldr Kiljan,Laxness,23.04.02,02.08.98,Iceland,IS,Reykjavik,Iceland,IS,Reykjavik,male,1955,literature,,1,"""for his vivid epic power which has renewed the great narrative art of Iceland""",,,,1902
307,641,Miguel Angel,Asturias,1899-10-19,06.09.74,Guatemala,GT,Guatemala City,Spain,ES,Madrid,male,1967,literature,,1,"""for his vivid literary achievement, deep-rooted in the national traits and traditions of Indian peoples of Latin America""",,,,1899
310,218,Vincent,du Vigneaud,18.05.01,12.11.78,USA,US,"Chicago, IL",USA,US,"White Plains, NY",male,1955,chemistry,,1,"""for his work on biochemically important sulphur compounds, especially for the first synthesis of a polypeptide hormone""",Cornell University,"Ithaca, NY",USA,1901
311,198,Richard,Kuhn,03.12.00,7/31/1967,Austria-Hungary (now Austria),AT,Vienna,West Germany (now Germany),DE,Heidelberg,male,1938,chemistry,,1,"""for his work on carotenoids and vitamins""",Kaiser-Wilhelm-Institut (now Max-Planck Institut) fôr Medizinische Forschung,Heidelberg,Germany,1900
312,198,Richard,Kuhn,03.12.00,7/31/1967,Austria-Hungary (now Austria),AT,Vienna,West Germany (now Germany),DE,Heidelberg,male,1938,chemistry,,1,"""for his work on carotenoids and vitamins""",University of Heidelberg,Heidelberg,Germany,1900
313,9,Philipp Eduard Anton,von Lenard,1862-06-07,5/20/1947,Hungary (now Slovakia),SK,Pressburg (now Bratislava),Germany,DE,Messelhausen,male,1905,physics,,1,"""for his work on cathode rays""",Kiel University,Kiel,Germany,1862
314,743,K. Barry,Sharpless,28.04.41,,USA,US,"Philadelphia, PA",,,,male,2001,chemistry,,2,"""for his work on chirally catalysed oxidation reactions""",The Scripps Research Institute,"La Jolla, CA",USA,1941
315,183,The (Theodor),Svedberg,1884-08-30,2/25/1971,Sweden,SE,Fler_ng,Sweden,SE,rebro,male,1926,chemistry,,1,"""for his work on disperse systems""",Uppsala University,Uppsala,Sweden,1884
316,294,Ronald,Ross,1857-05-13,9/16/1932,India,IN,Almora,United Kingdom,GB,Putney Heath,male,1902,medicine,,1,"""for his work on malaria, by which he has shown how it enters the organism and thereby has laid the foundation for successful research on this disease and methods of combating it""",University College,Liverpool,United Kingdom,1857
317,221,Lord (Alexander R.),Todd,02.10.07,01.10.97,Scotland,GB,Glasgow,United Kingdom,GB,Cambridge,male,1957,chemistry,,1,"""for his work on nucleotides and nucleotide co-enzymes""",University of Cambridge,Cambridge,United Kingdom,1907
318,200,Leopold,Ruzicka,1887-09-13,9/26/1976,Austria-Hungary (now Croatia),HR,Vukovar,Switzerland,,Zurich,male,1939,chemistry,,2,"""for his work on polymethylenes and higher terpenes""",Eidgen_ssische Technische Hochschule (Swiss Federal Institute of Technology),Zurich,Switzerland,1887
319,241,Christian B.,Anfinsen,26.03.16,5/14/1995,USA,US,"Monessen, PA",USA,US,"Randallstown, MD",male,1972,chemistry,,22,"""for his work on ribonuclease, especially concerning the connection between the amino acid sequence and the biologically active conformation""",National Institutes of Health,"Bethesda, MD",USA,1916
320,293,Emil Adolf,von Behring,1854-03-15,3/31/2017,Prussia (now Poland),PL,Hansdorf (now Jankowa &#379;aga&#324;ska),Germany,DE,Marburg,male,1901,medicine,,1,"""for his work on serum therapy, especially its application against diphtheria, by which he has opened a new road in the domain of medical science and thereby placed in the hands of the physician a victorious weapon against illness and deaths""",Marburg University,Marburg,Germany,1854
321,199,Adolf Friedrich Johann,Butenandt,24.03.03,1/18/1995,Germany,DE,Bremerhaven-Lehe,Germany,DE,Munich,male,1939,chemistry,,2,"""for his work on sex hormones""",Berlin University,Berlin,Germany,1903
